Date,Underlying1,Underlying2,Underlying3,Underlying4,Underlying5,Underlying6
04-Mar-21,204.952373,265.1909869,893.66455,42.7939602,20488.32752,1325.707061
05-Mar-21,207.0524869,265.1861681,916.3067444,53.75044053,20703.0568,1325.713434
08-Mar-21,207.249718,265.6145172,909.4708366,21.92072115,20723.24336,1327.602096
09-Mar-21,206.3908369,265.6336502,903.4992095,64.90411719,20635.71122,1327.923261
10-Mar-21,205.9742714,265.6714598,905.536058,24.74164164,20590.83141,1327.975132
11-Mar-21,206.8939793,265.5437857,930.8186789,51.59412852,20686.97318,1327.254153
12-Mar-21,207.2264837,265.658518,928.544549,1.128839933,20721.8079,1328.274807
15-Mar-21,207.0115838,265.7587479,923.0655016,36.60955693,20691.52976,1328.512776
16-Mar-21,206.9441573,265.5588783,920.185949,27.56817395,20687.21616,1327.598305
17-Mar-21,206.6009273,265.664218,916.583675,9.664868639,20650.75174,1328.147737
18-Mar-21,203.4655206,265.560975,879.6969325,48.0486181,20343.59973,1327.806836
19-Mar-21,203.7677359,265.3651504,888.0440197,35.89036654,20372.65275,1326.592538
22-Mar-21,203.6124239,265.4119951,893.8785598,18.11523414,20360.02281,1326.595059
23-Mar-21,203.0525147,265.3591796,866.1736734,39.21556093,20301.25908,1326.828136
24-Mar-21,204.9830068,265.5331311,888.2419113,12.53519136,20490.06497,1327.280935
25-Mar-21,203.2635106,265.7059642,869.2846848,59.67613798,20319.16253,1328.08577
26-Mar-21,203.3735464,265.5636203,878.8636066,77.9463221,20336.51679,1327.756135
29-Mar-21,204.2073546,265.6144288,878.4119735,85.5733015,20418.73222,1328.039628
30-Mar-21,204.2560849,265.6969769,867.5400844,19.46788244,20424.92967,1328.459568
31-Mar-21,205.2476948,266.1870417,874.6764281,25.99108206,20515.33021,1330.523484
01-Apr-21,206.8238701,266.4502669,874.3471417,8.827457965,20675.89596,1332.013443
05-Apr-21,205.9854463,266.6958541,873.6280217,68.38885164,20590.36917,1333.523001
06-Apr-21,205.5666887,266.8691333,879.6471474,74.61236726,20547.73106,1334.054627
07-Apr-21,205.356007,266.7437841,879.9767911,47.36097356,20533.62732,1333.605408
08-Apr-21,204.6531958,266.7379451,884.2724179,74.55998574,20457.22455,1333.647225
09-Apr-21,204.6608655,266.9050967,882.8575735,16.17745615,20459.12649,1334.121458
12-Apr-21,204.8898008,267.1839217,879.7492121,76.55321722,20482.86021,1335.643253
13-Apr-21,204.8458658,266.9240428,883.1323674,28.30278201,20480.34493,1334.273079
14-Apr-21,206.5099421,266.5462917,888.2791925,7.848469351,20647.05918,1332.647122
15-Apr-21,205.732032,266.2827509,887.6545062,10.48938921,20572.78177,1330.97061
16-Apr-21,205.283251,266.4380797,884.9035502,76.3198007,20525.45794,1331.994998
19-Apr-21,206.2821168,266.3332941,887.8735877,22.62594629,20623.86869,1331.514822
20-Apr-21,206.2122956,266.3490948,889.8332445,61.52716575,20620.63578,1331.620496
21-Apr-21,205.491721,266.5419591,893.2872938,17.40165523,20547.70664,1332.27102
22-Apr-21,206.3663946,266.1215021,898.1037208,32.06136201,20631.3885,1330.245544
23-Apr-21,206.8874658,266.1037943,900.6322858,36.59174643,20683.55448,1330.374001
26-Apr-21,206.833365,265.619014,909.0820972,49.92948713,20680.61792,1328.11053
27-Apr-21,206.4833759,265.2569034,908.9708606,30.00691854,20645.33052,1325.85932
28-Apr-21,206.572267,264.8936193,914.4039934,35.79922693,20650.88623,1324.223306
29-Apr-21,207.116199,265.1446579,912.9172358,4.440526149,20711.53997,1325.447087
30-Apr-21,207.4407591,264.9509352,919.417283,88.31142066,20734.98847,1324.385987
03-May-21,207.5624581,265.2262283,920.7932674,88.20337428,20751.91943,1325.910171
